Date,Description,Category,Amount,Location
2024-11-29,Parking,Auto & Transport,7.00,Santa Monica
2024-11-30,The Kebab Shop,Dining & Drinks,36.85,San Diego
2024-11-30,Parking,Auto & Transport,1.25,San Diego
2024-11-29,Speedway Gas,Auto & Transport,5.00,Irvine
2024-11-29,Gas,Auto & Transport,66.52,Irvine
2024-11-29,7-Eleven Coffee,Dining & Drinks,9.36,Irvine
2024-11-29,Gas,Auto & Transport,22.20,Carmel Highlands
2024-11-29,Speedway Gas,Auto & Transport,53.50,Monterey
2024-11-30,Parking,Auto & Transport,2.81,San Francisco
2024-11-30,Parking,Auto & Transport,3.75,San Francisco
2024-11-30,Parking,Auto & Transport,7.00,San Francisco
2024-11-30,Grant Plaza Hotel,Hotel,338.84,San Francisco
2024-12-01,Bakery,Dining & Drinks,28.18,San Francisco
2024-12-01,Gas,Auto & Transport,58.00,San Francisco
2024-12-02,Gas,Auto & Transport,43.88,Carmel Highlands
2024-11-30,Cheaper Than Therapy,Entertainment,50.00,San Francisco
2024-12-03,Gas,Auto & Transport,60.01,Irvine
2024-12-03,Taco Stand,Dining & Drinks,54.00,Irvine
2024-12-03,In-N-Out Burger,Dining & Drinks,20.00,San Francisco